order_id,warehouse,carrier,city,product_category,order_date,promised_date,delivery_date,status
1021,WH-101,BlueDart,Jaipur,Clothing,2026-08-08,2026-08-12,2026-08-12,DELIVERED
1022,WH-102,FedEx,Delhi,Home,2026-08-08,2026-08-12,2026-08-14,LATE
1023,WH-103,DHL,Jodhpur,Beauty,2026-08-08,2026-08-12,2026-08-12,DELIVERED
1024,WH-101,FedEx,Ajmer,Electronics,2026-08-09,2026-08-13,2026-08-13,DELIVERED
1025,WH-102,BlueDart,Delhi,Clothing,2026-08-09,2026-08-13,2026-08-17,LATE
1026,WH-103,DHL,Kota,Home,2026-08-09,2026-08-13,2026-08-14,LATE
1027,WH-101,DHL,Jaipur,Beauty,2026-08-10,2026-08-14,2026-08-14,DELIVERED
1028,WH-102,FedEx,Delhi,Electronics,2026-08-10,2026-08-14,2026-08-15,LATE
1029,WH-103,BlueDart,Jodhpur,Clothing,2026-08-10,2026-08-15,2026-08-15,DELIVERED
1030,WH-101,DHL,Ajmer,Home,2026-08-11,2026-08-15,2026-08-16,LATE
1031,WH-102,BlueDart,Delhi,Electronics,2026-08-11,2026-08-16,2026-08-18,LATE
1032,WH-103,FedEx,Kota,Beauty,2026-08-11,2026-08-15,2026-08-15,DELIVERED
1033,WH-101,DHL,Jaipur,Clothing,2026-08-12,2026-08-16,2026-08-16,DELIVERED
1034,WH-102,FedEx,Delhi,Home,2026-08-12,2026-08-16,2026-08-16,DELIVERED
1035,WH-103,BlueDart,Jodhpur,Electronics,2026-08-12,2026-08-17,2026-08-20,LATE
1036,WH-101,FedEx,Ajmer,Beauty,2026-08-13,2026-08-17,2026-08-17,DELIVERED
1037,WH-102,DHL,Delhi,Clothing,2026-08-13,2026-08-17,2026-08-18,LATE
1038,WH-103,DHL,Kota,Home,2026-08-13,2026-08-17,2026-08-17,DELIVERED
1039,WH-101,BlueDart,Jaipur,Electronics,2026-08-14,2026-08-18,2026-08-18,DELIVERED
1040,WH-102,FedEx,Delhi,Beauty,2026-08-14,2026-08-18,2026-08-21,LATE
1041,WH-103,DHL,Jodhpur,Clothing,2026-08-14,2026-08-18,2026-08-18,DELIVERED
1042,WH-101,DHL,Ajmer,Home,2026-08-15,2026-08-19,2026-08-19,DELIVERED
1043,WH-102,BlueDart,Delhi,Electronics,2026-08-15,2026-08-19,2026-08-22,LATE
1044,WH-103,FedEx,Kota,Beauty,2026-08-15,2026-08-19,2026-08-20,LATE
1045,WH-101,DHL,Jaipur,Clothing,2026-08-16,2026-08-20,2026-08-20,DELIVERED
1046,WH-102,FedEx,Delhi,Home,2026-08-16,2026-08-20,2026-08-20,DELIVERED
1047,WH-103,BlueDart,Jodhpur,Electronics,2026-08-16,2026-08-21,2026-08-23,LATE
1048,WH-101,FedEx,Ajmer,Beauty,2026-08-17,2026-08-21,2026-08-21,DELIVERED
1049,WH-102,DHL,Delhi,Clothing,2026-08-17,2026-08-21,2026-08-22,LATE
1050,WH-103,DHL,Kota,Home,2026-08-17,2026-08-21,2026-08-21,DELIVERED
1051,WH-101,BlueDart,Jaipur,Electronics,2026-08-18,2026-08-22,2026-08-22,DELIVERED
1052,WH-102,FedEx,Delhi,Beauty,2026-08-18,2026-08-22,2026-08-24,LATE
1053,WH-103,DHL,Jodhpur,Clothing,2026-08-18,2026-08-22,2026-08-22,DELIVERED
1054,WH-101,DHL,Ajmer,Home,2026-08-19,2026-08-23,2026-08-23,DELIVERED
1055,WH-102,BlueDart,Delhi,Electronics,2026-08-19,2026-08-23,2026-08-26,LATE
1056,WH-103,FedEx,Kota,Beauty,2026-08-19,2026-08-23,2026-08-24,LATE
1057,WH-101,DHL,Jaipur,Clothing,2026-08-20,2026-08-24,2026-08-24,DELIVERED
1058,WH-102,FedEx,Delhi,Home,2026-08-20,2026-08-24,2026-08-24,DELIVERED
1059,WH-103,BlueDart,Jodhpur,Electronics,2026-08-20,2026-08-25,2026-08-27,LATE
1060,WH-101,FedEx,Ajmer,Beauty,2026-08-21,2026-08-25,2026-08-25,DELIVERED
